Название,Описание проекта,Результат/Цель 
SMM ИРИТ-РТФ,Реализация на базе соц. сети ВКонтакте.,Оформление и продвижение групп для индивидуальных образовательных траекторий и абитуриентов ИРИТ-РТФ. Группы ИОТ и Абитуриент ИРИТ-РТФ с разработанным дизайнерским оформлением и приростом числа подписчиков не менее 1000 посетителей.
Financial Calculator,"Визуальная новелла, написанная на RenPy. Есть две реализации проекта: веб-приложение и desktop-приложение. В первом случае игра запускается онлайн (из технологий используются html, css, движок RenPy), во втором - игру необходимо скачивать на ПК (из технологий используется только RenPy).
 
 Визуальная новелла, написанная с нуля на Python. Аналогичная поддержка веб-версии и desktop-версии.","Разработка игры (визуальной новеллы), обучающей финансовой грамотности. Игра (визуальная новелла) с разветвленным сюжетом, множеством концовок. Форматы: веб-приложение, desktop-приложение."
Автоматизация формирования электронной визитки для ФЛ,"Необходимо реализовать возможность формировать визитную карточку физического лица (номер телефона, ФИО, учетная запись из VK, instagram, facebook) и возможность передавать ее на другие мобильные устройства, например, через QR-код (возможно будет предложен и реализован другой удобный способ) с последующим их сохранением в карточке контакта. Необходимо предусмотреть возможность выбирать данные, которые передаются в сформированной карточке, например, передается только учетная запись в facebook и ФИО. При сохранении должна быть соблюдена корректность сохранения данных, т.е. в Фамилии - должна сохраняться Фамилия, в Имени - имя, и т.д. ) возможность передачи должна быть реализована между iOS-iOS, android-android, iOS-android.","минимизация расходов времени на обмен контактами и учетными записями в разных системах реализованная возможность передавать и сохранять визитную карточку в мобильном устройстве, передача информации должна осуществляться по защищенному каналу. Время передачи не должно занимать более 2-х секунд."
Оплата товаров/услуг ФЛ в адрес ЮЛ с использование технологии NFC,"Необходимо реализовать мобильное приложение, используя которое можно без налично рассчитываться с ЮЛ, у которого нет специального терминала. Чек об оплате должен формироваться автоматически и приходить на эл почту, как плательщику, так и получателю, с соблюдением всех норм формирования расчетных документов.","Минимизация расходов на обслуживание терминалов Реализован функционал, который полноценно может заменить платежный терминал. Работающее приложение и сайт с возможной нагрузкой 10000 человек, время отклика системы 1-2 сек."
Управление устройством с использованием когнитивных технологий,"Необходимо реализовать возможность запуска определенных функций мобильных телефонов, анализируя мимику владельца смартфона.","Управление смартфоном без рук (лицом, мимикой, движением головы, морганием глаза и т.п.) запуск определенных функций смартфона на основании мимики его владельца, время отклика системы 1 сек. При изменении мимики владельца смартфон выполняет запуск определенных команд."
Приложение по электронным пропускам,"Необходимо реализовать приложение, в котором будут храниться все электронные пропуска и также возможность их предъявления, считывания и валидации СКУД (можно сделать c использованием (NFC)",Избавиться от использования магнитных пластиковых пропусков для прохождения через турникет на вход и выход Исключены пластиковые пропуска и СКУД работает с использованием смартфона.
"Online площадка для online связи, собраний, встреч.",Необходимо реализовать возможность общения различных групп людей на одной online площадке с возможностью голоса и текста.,"Создать приложение, в котором можно транслировать контент, создавать голосовые и текстовые чаты, проводить опросы, подводить итоги Online площадка, приложение для общения с возможностью транслировать контент, создавать голосовые и текстовые чаты, проводить опросы, подводить итоги"
Виртуальная ЭЦП,"Чтобы подписать пакет документов при наличии договорных отношений между людьми, им необходимо лично приехать и поставить подпись. Необходимо реализовать сервис, который исключит данную необходимость","Создать ЭЦП, которой можно удаленно подписывать документы Исключена необходимость собственноручной подписи"
Автоматизация раздачи прав пользователям,При трудоустройстве нового сотрудника в разных системах необходимо оформить различные заявки на права доступа.,"Исключить необходимость ручной раздачи/удаления прав доступа Автоматические раздавать/убирать доступ для сотрудников при приеме на работу, нахождении в отпуске, увольнении"
Инструмент разметки данных для формирования обучающей выборки для системы компьютерного зрения,"наличие графического интерфейса;
 работа с видеопотоком;
 использование готового и/или обучение собственного детектора объектов;
 обработка цифровых изображений;
 анализ тепловых сигнатур объектов;","Создание инструмента для разметки данных обучающей выборки для системы распознавания лиц Инструмент должен выполнять следующие операции с цифровыми изображениями:
 отзеркаливание по вертикали и по горизонтали;
 поворот изображения по часовой и против часовой стрелки;
 смещение по горизонтали и по вертикали;
 изменение масштаба пропорциональное и не пропорциональное, с возможностью указания, как коэффициента масштабирования, так и конкретной высоты и/или ширины изображения в пикселах;
 возможность выделения на изображении произвольной прямоугольной области
 функция сохранения произведённых изменений в виде проекта, а также сохранение текущей позиции, для последующего продолжения работы с того места, на котором остановился (набор файлов и папок определённой структуры)"
Telegram-бот для Проектного практикума и курса Информационные технологии и сервисы,Бот предназначен для работы со студентами курсов Проектный практикум и Информационные технологии и сервисы. Последний располагается на OpenEdu.ru. Общение в популярных месседжерах Vk и Telegram.,"Создание Telegram-бота для Проектного практикума и курса Информационные технологии и сервисы. Бот, который может самостоятельно отвечать на вопросы студентов, отправлять файлы с инструкциями, записывать студентов на защиты и предзащиты. Команды должны обрабатываться даже с ошибками. Возможно использование сервиса DialogFlow. База данных вопросов и ответов, должна пополняться через G.Sheets, либо через другой пользовательский интерфейс."
Продвижение онлайн курса Информационные технологии и сервисы и Проектного практикума,"Сопровождение студентов в группах во Вконтакте и Facebook, необходимо самостоятельно оформлять посты и писать текст, по согласованию с организатором. Работа делится на несколько составляющих: дизайн картинок и плакатов, написание текстов, составление маркетинговой стратегии. Предпочтение отдаётся команде из 2 человек, возможно при обсуждении 3 участника.",Создать маркетинговую стратегию развития Проектного практикума и онлайн курса Информационные технологии и сервисы в социальных сетях. Общаться со студентами в течение семестра. Маркетинговая стратегия развития двух проектов на 1 год вперёд. Проведена поддержка всех студентов курсов в течение семестра. Спланированная стратегия реализована в течение семестра.
Создание анимационного промо ролика онлайн курса Информационные технологии и сервисы,"Создание анимированного проморолика для рекламы курса Информационные технологии и сервисы, который будет отображаться в самом курсе и при его рекламе.","Создание анимированного проморолика для рекламы курса Информационные технологии и сервисы, который будет отображаться в самом курсе и при его рекламе. Анимированный  проморолика для рекламы курса Информационные технологии и сервисы, который будет отображаться в самом курсе и при его рекламе."
Обработка мультиспектральных изображений Земли,"Обработка снимков Земли в формате TIFF. Растровое изображение и его обработка. Расчёт вегетационных, водных, геологических и других индексов. Анализ местности обитания Дикого северного оленя. Работа с пространственными данными. В ходе работы планируется написание статей, участники будут являться соавторами.","Обработка мультиспектральных изображений Земли, для обнаружения популяций дикого северного оленя на полуострове Таймыр. Обнаружение по вегетационным индексам. Программа для групповой обработки мультиспектральных снимков и расчета индексов на заданной территории."
Анимационный проморолик для онлайн курса Информационные технологии и сервисы,Создание анимационного 2D проморолика для рекламы и презентации курса Информационные технологии и сервисы на OpenEdu. Видео будет показываться на презентации курса и как приветствие внутри онлайн платформы.,"Создание анимационного 2D проморолика для рекламы и презентации курса Информационные технологии и сервисы на OpenEdu. Готовый проморолик, который отражает суть курса и приветствует студентов в начале курса."
Образовательные исторические квесты и игры в цифровой среде (прототип и общие принципы),"Квесты и игры могут быть на различную тематику. В описании приводится ТЗ
 Прописать ТЗ
 Инженерная (программная) сторона проекта направлена на создание действующих «гибких» алгоритмов, позволяющих менять контент проекта без изменения «кода-каркаса» игры, а также реализация проекта в Web-пространстве по средствам языков программирования JS/HTML. 
 Примерный концепт работы: создание типовых компонентов (контроллов) для ввода текста с выбором варианта ответа (запрос – ответ) и получением пользователем определенного JSON объекта. После отправки ответа пользователем с сервера приходит новый JSON объект в зависимости от введенных пользователем данных. Таким образом, первоочередной задачей является создание базы («запросов – ответов»), которую можно наполнять иными контентом и стилями, не изменяя сам программный каркас алгоритмов. 
","Разработка прототипа Web квест-игры с возможностью интеграции конечного продукта в образовательные интернет-ресурс реализуемые Уральским федеральным университетом на платформе openedu.ru (курс «Истории России» https://openedu.ru/course/urfu/HIST/), а также оценка подобных продуктов со стороны академического, научного и студенческого сообществ Уральского федерального университета посредствам анкетных опросов. Команда проекта предоставляет прототип продукта (историческую квест-игру), реализованную в Web-среде или с возможностью потенциальной интеграции в Web-среду (образовательные онлайн-ресурсы УрФУ). 
 Игра может быть в формате карточек, где игрок выбирает себе героя, затем получает задания или проходит через определенные исторические события. Игровой механизм включает выбор сценария после прочтения описания события. 
 Варианты, на которые можно ориентироваться по техническим решениям: 
 1) Игра «Жизнь дворянина» https://arzamas.academy/materials/1200
 2) Игра «Переживите все революции» https://arzamas.academy/materials/835 
 Основная задача работы в осеннем семестре продумать алгоритм игры и сделать прототип."
Web-сайт «Экономика Региона»,"Сейчас существуют два разных сайта – русскоязычный и англоязычный. Раз в квартал там публикуется электронная версия журнала. Большую ценность имеет архив, так как сайт индексируется международными системами типа Scopus, Web of Science (ESCI), EBSCO, EconLit, RePEC, CitEc, Ulrich’s Periodicals Directory, DOAJ, eLIBRARY.RU, КиберЛенинка, НЭИКОН, поэтому на новый сайт будет необходимо переместить старые выпуски журнала.
 Необходимо сделать единый сайт для двух языковых версий – с современным дизайном и адаптивностью. Структура может соответствовать текущей.
 В качестве системы управления контентом использовать WordPress, хостинг предоставляется, в том числе на период разработки.","Разработка нового сайта научного издания Института Экономики РАН «Экномика Региона» в двух языковых версиях Готовый к публикации (протестирован и работают все функции, наполнен) сайт."
Geek Plants,"Приложение Geek Plants – тематический таск-менеджер и справочник, позволяющий по графику поливать, удобрять свои растения, получать информацию о растениях из справочника и от сообщества. Функции шеринга растений.",Разработка кросс-платформенного мобильного приложения (или нативных версий для платформ - iOS/Android) по готовому дизайну в Figma. Задача следующей практики – разработка (или кастомизация готового решения) и обучение нейросети для определения растений по фото и внедрение в приложение – также может быть выполнена в рамках данного проекта. Готовое к публикации в сторах (протестированы и работают все функции) приложение.
Видео-рендеринг 3D-сцен.,"Трассировка лучей (ray tracing) - семейство алгоритмов, позволяющих создавать реалистичные изображения 3d-сцен. Технология широко применяется в кинематографии и других медиа. Предлагается реализовать рендеринг 3d-моделей и нескольких примитивов (сфера, плоскость и т.д.) с возможностью расположения их на сцене и задания анимации.","Изучить и освоить алгоритм трассировки лучей для воссоздания физически корректного освещения; разработать модель описания 3d-сцены с анимированными объектами; реализовать видео-рендеринг по определённому сценарию и набору входных моделей. Программа, принимающая на вход некий файл с описанием сцены, набор необходимых 3d-моделей в определённом формате (напр., obj), и выдающая в итоге видео-файл с визуализацией сцены."
Исследование влияния упорядочивания выборки на скорость обучения нейронных сетей,"Не смотря на то, что в последнее время нейронные сети приобрели большую популярность в различных прикладных областях (обработка звука и текста, анализ изображений и многих других), до сих пор не разработано метода, объясняющего, что происходит внутри нейронных сетей на фазе обучения и вывода. В первую очередь это связано с очень большим количеством обучаемых параметров, число которых может достигать нескольких миллиардов. Рассмотрение нейронных сетей, как черных ящиков, сильно затрудняет анализ эффективности алгоритмов обучения, что влечет за собой возможность лишь эмпирической проверки выдвинутых гипотез, связанных с обучением нейронных сетей.
 В данной работе предлагается проверить гипотезу о том, что сортировка обучающей выборки влечет за собой увеличение скорости сходимости моделей на примере языковых моделей. Языковая модель - это вид нейронной сети, которая предсказывает слово по его контексту. Такие модели хорошо улавливают синтаксические, стилистические, грамматические и лексические особенности языков, и по этому часто используются для генерации текста.
 Работа будет подразделяться на три этапа: теоретический, практический и аналитический. В ходе теоретического этапа необходимо будет придумать два-три способа упорядочивания обучающей выборки. Один из таких способов - упорядочивание по информационному критерию. На практическом этапе нужно будет реализовать две-три различных языковых модели (например, основанных на различных видах RNN и Transformer) и обучить их на выборках, отсортированных с помощью выбранных критериев сортировки. На последнем этапе необходимо проанализировать полученные результаты и сравнить скорости сходимости моделей, а также сделать вывод о том, влечет ли упорядочивание выборки увеличение скорости сходимости.","Проверка гипотезы о том, что упорядочивание обучающей выборки по информационному признаку влечет за собой увеличение скорости сходимости нейронных сетей Результаты проекта:
 - предложено два-три критерия сортировки обучающей выборки;
 собран и предобработаннабор данных из Википедии;
 реализованно и обучено две-три различных архитектуры языковых моделей (LSTM, Transformer) на упорядоченной и неупорядоченной выборках;
 проведен анализ полученных результатов, сделаны выводы, подтверждающие или опровергающие выдвинутую гипотезу."
Понимание нейронных сетей,"Описание.
 Глубокие нейронные сети в машинном обучении в последнее время становятся все более и более популярным инструментом для решения различных задач из таких областей, как машинное зрение, обработка естественного языка, рекомендательные системы и многих других. В то время как такие алгоритмы, как стохастический градиентный спуск и обратное распространение ошибок, позволяют обучать глубокие нейронные сети, остается открытым вопрос: каковы гарантии обобщающего поведения параметризованных нейронных сетей? В последнее время было опубликовано множество работ, направленных на решение этой проблемы и дающих различные механизмы объяснения и теоретические границы обобщающей способности. Однако, эти результаты все еще не могут полностью объяснить успех архитектур нейронных сетей, используемых на практике и применяемых к наборам данных из реального мира. Следовательно, очень важно разработать метод, позволяющий лучше понять что происходит во время обучения нейронных сетей.
 План работ.
 В ходе первого этапа проекта мы сфокусируемся на изучении основ глубокого обучения. Оно будет включать в себя чтение теоретического материала и реализацию различных архитектур нейронных сетей на фреймворке PyTorch. Затем, мы нацелимся на понимание того, что есть ""обобщение"" в алгоритмах машинного обучения и почему мы должны уделять ему особое внимание. На последнем этапе мы исследуем какие проблемы возникают в процессе обучения нейронных сетей.
 Для этого проекта понадобятся: базовые знания программирования на Python, базовые знания в машинном обучении
 Рабочий язык: английский","Изучить проблемы в понимании процесса обучения нейронных сетей и их обобщающей способности Результатом проекта должен стать написанный обзор проблем, возникающих при обучении нейронных сетей."
Интерфейс-Помощник,"Скорее всего, проект возможно реализовать через ООП и Машинное обучение - на вкус команды, что выбирать.","Разработать систему, способную адаптироваться под привычки пользователя в повседневных задачах и упрощать их. Прототип интерфейса, который самостоятельно создает макросы из событий(из повторяющихся действий пользователя) и ненавязчиво внедряет их в себя(в интерфейс для пользователя)."
Виртуальный музей игр и компьютерной графики,"Пользователь будет ходить по виртуальному 3D-музею, в котором сможет не только получить информацию, но и сам проверить её, например: подойти к объекту и посмотреть как на него влияют различные карты текстур, почувствовать и увидеть прирост fps, когда объекты в сцене представлены правильно и т.п. Голос-экскурсовод будет рассказывать всю информацию. Экскурсии будут разделены по темам. Общая идея: собрать опыт о разработке игр у других компаний, разработчиков и др. и уместить его в интерактивном приложении.","Создать приложение, способное давать и развивать компетенции, связанные с разработкой игр и использованием в них 3D графики у пользователей различных уровней. Работающее приложение (для PC/VR/смартфона)"
Игра по пожарной безопасности,"Наш проект - образовательная компьютерная игра на тему пожарной безопасности. Пользователю предлагается пройти игру, в ходе который он приобретет навыки ориентирования по плану эвакуации, ознакомиться с правилами действия при пожаре. Игра выполнена в жанре 3D бродилки, есть возможность взаимодействия с окружающим миром, есть интерактивные подсказки. 
Ознакомиться с прототипом игры можно, посмотрев видеоролик по ссылке:
https://youtu.be/7zXzQKZmOtw
Стек технологий: среда разработки Unity, Adope Photoshop, Blender","Доработать техническую часть прототипа игры. Минимум 50 человек должны поиграть в игру и предоставить обратную связь. Команда проекта должна доработать существующий прототип игры, продумать систему сбора обратной связи (реузльтаты/оценка игрового процесса, опросы) и предоставить её пользователям"
Ганимед (возможно временное),"Обработка естественного языка и логическое построение решения задачи.
Технология - Web",Сайт для решения геометрических текстовых задач Сайт с обработкой на бэк-энде
Wellbe - health coaching online,"Health coach - это человек, который помогает корректировать образ жизни, чтобы избежать проблем со здоровьем в будущем. Стартап Wellbe популяризует health coaching в России, поэтому появилась необходимость в платформе, позволяющей находить специалистов и связываться с ними из любой точки мира.  Платформа wellbe - это простой вариант следить за своим здоровьем и поддерживать связь с персональным коучем. Наше решение позволяет значительно увеличить качество услуг health коуча, за счет автоматизации рутинных задач. 
Особенности реализации:
backend на Ruby
frontend на React.js
прототипирование - figma
интеграция с сервисами daily.co и mandrill",Разработка платформы для планирования и проведения видео-встреч c health коучером Платформа (сайт) для проведения онлайн встреч с коучем и API для управления расписанием коучей и клиентов.
Внутренний портал компании,"Система реализуется в виде web-сайта, для доступа к функциям необходимо авторизоваться. Язык разработки бекенда C# (ASP.NET Core). В случае необходимости шаблоны дизайна будут представлены Заказчиком. 
 Для консультации участников проекта будут выделены аналитик и разработчик, к которым участники смогут обращаться за помощью на протяжении всего времени выполнения задания, как в мессенджерах, так и лично. Подробное техническое задание на проект будет составляться участниками проекта после начала работ над ним при непосредственном участии аналитика Заказчика. Можно обсудить реализацию не всех модулей, а только их части. По желанию участников функционал модулей можно увеличить. В случае успешной реализации, разработанную систему Заказчик будет использовать в дальнейшем в своей деятельности.","Реализовать внутренний портал компании, позволяющий:
 - вести финансовый учёт доходов и расходов компании.
 - вести финансовую аналитику по проектам на основании затраченного на них времени.
 - автоматизировать получение соискателем тестового задания и его запись на собеседование. 
 - рассылать уведомлений. Должен быть реализован web-портал, с ролевым разграничением прав доступа, состоящий из следующих модулей:
 Модуль финансового учёта, который позволяет вести финансовый учёт компании и вносить в него поступления, как фактические, так и ожидаемые и затраты. К поступлениям относятся входящие платежи по контрактам компании, у них необходимо указывать сумму платежа, проект, к которому он относится, статус (поступил, ожидается) и дату поступления (ожидаемого поступления. К затратам относится зарплата сотрудников, аренда офиса, оплата интернета и прочее. У затрат необходимо указывать группу, к которой она относится (продукты, техника, обучение, оплата сторонним исполнителям и др.), регулярный это платёж или разовый и описание (не обязательно). Модуль должен позволять строить баланс компании на текущую дату и график на будущее, а также аналитику по месяцам.."
Система формирования предложений для зрителей,"Система реализуется в виде закрытого web-портала. Язык для создания нейронной сети по выбору участника, рекомендуемый язык – Python. Язык разработки бекенда C# (ASP.NET Core). В случае необходимости шаблоны дизайна будут представлены Заказчиком. 
 Система создаётся для действующего клиента Заказчика - крупной сети кинотеатров.
 Заказчик предоставляет реальные обезличенные данные для работы системы: информация о зрителе (пол, возраст) и его покупках (дата и время покупки, билет на какой фильм и какую продукцию бара приобрел). По каждому фильму можно получить информацию о его жанре и актёрах. У каждого зрителя известен номер его мобильного телефона и e-mail через которые можно осуществлять рассылку. Заказчик предоставит доступ к системам для проведения рассылки и поможет с шаблонами писем и СМС сообщениями. По согласованию с клиентом, в рассылке будет предлагаться скидка или подарок, а не просто сообщаться о новом фильме.
 Для консультации участников проекта будут выделены аналитик и разработчик, к которым участники смогут обращаться за помощью на протяжении всего времени выполнения задания, как в мессенджерах, так и лично. Подробное техническое задание на проект будет составляться участниками проекта после начала работ над ним при непосредственном участии аналитика Заказчика.","Увеличить продажи билетов в кино и бара путём формирования и направления зрителям кинотеатров персональных предложений. Должна быть реализована система машинного обучения, которая позволит на основании данных о зрителях формировать для них персональные предложения и в зависимости от реакции зрителя на предложение менять само предложение и время / способ его отправки для достижения оптимального результата.
 Персональное предложение это текстовое сообщение отправляемое пользователю на e-mail или по СМС которое может включать в себя предложение посетить какой-то конкретный фильм или фильм определённого жанра со скидкой в определённый период или купить билет на определённый фильм и получить в подарок стакан любимого попкорна. Персональное предложение может так же предлагать скидку на продукцию бара, например, попкорн, без привязки к фильму."
Инструмент манипуляции,"Виртуальная сцена, представляющая собой пространство, ограниченное стенами и потолком, в котором перед пользователем находятся разнообразные объекты (например, геометрические тела). Время от времени загорается область в виртуальном пространстве. Задача пользователя – взять любой предмет и переместить его в указанную точку. После этого целевая область меняет положение. Расположение таких целей меняется рандомно.
 Пользователю предлагаются сессии со следующими отличающимися условиями:
 1. Пользователь управляет объектами при помощи контроллера.
 1.1. контроллер имеет визуальное представление в виртуальном пространстве.
 1.1.1. контроллер имеет визуальное представление в виртуальном пространстве. Когда пользователь наводит его на выбранный объект, объект подсвечивается и остаётся подсвеченным, пока пользователь не выполнит захват. После захвата объект можно передвигать по пространству и отпустить в любом месте.
 1.1.2. контроллер имеет визуальное представление в виртуальном пространстве, но объекты не меняют своего вида вне зависимости от того, наведён контроллер или нет. Захват визуально определяется только тем, что объект передвигается по виртуальному пространству. Пользователь также может отпустить объект в любом месте.
 1.2. Контроллер не имеет визуального представления в виртуальном пространстве.
 1.2.1. контроллер не имеет визуального представления в виртуальном пространстве. Когда пользователь наводит его на выбранный объект, объект подсвечивается и остаётся подсвеченным, пока пользователь не выполнит захват. После захвата объект можно передвигать по пространству и отпустить в любом месте.
 1.2.2. контроллер не имеет визуального представления в виртуальном пространстве, объекты не меняют своего вида вне зависимости от того, наведён контроллер или нет. Захват визуально определяется только тем, что объект передвигается по виртуальному пространству. Пользователь также может отпустить объект в любом месте.
 2. Пользователь управляет объектами при помощи технологии захвата движений. Далее аналогично п. 1.
 2.1. Руки пользователя визуально отображаются в виртуальном пространстве.
 2.1.1. Выбор объекта также визуально отображается.
 2.1.2. Выбор объекта визуально не отображается.
 2.2. Руки пользователя визуально не отображаются в виртуальном пространстве.
 2.2.1. Выбор объекта также визуально отображается.
 2.2.2. Выбор объекта визуально не отображается.
 
 Внутри каждой сессии пользователю предлагается сделать от 5 до 10 попыток (количество может быть изменено), система фиксирует
 1. Время, потраченное на выполнение задания.
 2. Доводит ли пользователь захваченный объект до цели или отпускает в другом месте.
 3. Траекторию передвижения объектов.
 Между сессиями предлагается короткая заставка.
 
 Усложнённый вариант программы предполагает также изменения стиля окружения и объектов (более абстрактные – более реалистичные – более мультяшные и т.п.)
 
 Перед началом работы пользователь вводит ФИО-возраст-пол-спецальность и система заводит его профиль, в котором фиксирует его данные и результаты. При выходе из системы и повторном входе под тем же именем данные заносятся в тот же профиль.","Цель проекта – создание виртуальной среды, пригодной для проведения психологического эксперимента на взаимодействие с виртуальной реальностью. Эксперимент исследует опосредованные и непосредственные способы манипуляции объектами виртуальной среды Виртуальная сцена, позволяющая многократные пробы перемещения объектов в заданные области"
