Название,Описание проекта,Результат/Цель 
Роботизированный стенд для тестирования позвоночных эндопротезов,"Проблема: исследуемый эндопротез должен быть нагружен при помощи свойственных человеческому телу движений с определенными усилиями.
Концепт: стенд представляет собой три позвонка, средний из которых — протез. Нижний позвонок зафиксирован, а верхний приводится в движение с помощью системы пневматических цилиндров. Для определения усилия применяются датчики давления. Управление осуществляется при помощи микроконтроллера и следующего за ним ПК, посредством АРМ оператора стенда.
","Разработать автоматизированный стенд для нагрузочного тестирования протезов позвонков, изготовленных при помощи аддитивных технологий. Сам стенд и данные серии испытаний, проведенные с помощью него"
"Выбор и адаптация системы автоматических тестов, через WEB интерфейс-для АИС НСК","АИС НСК разработана на языках программирования JAVA + SCALA, интерфейс работает через WEB-браузер Google Chrome.
В текущий момент не используются автоматизированные программные средства для тестирования работоспособности системы от лица пользователя, через интерфейс. 
Реализация нагрузочного тестирования АИС НСК, эмулирующего работу задаваемого в настройках количества виртуальных пользователей
","Реализовать автоматическое тестирование Автоматизированной информационной системы Независимого строительного контроля (АИС НСК) Система автоматизированного тестирования АИС НСК, через WEB-интерфейс с возможностью добавления тестов и их корректировки без программирования, с помощью скриптов и настроек.
Техническое задание на модуль, инструкция пользователя и администратора
"
Разработка модуля технического мониторинга инженерной инфраструктуры (промышленный интернет вещей IIOT) на платформе C60,"Платформа С60 разработана на языках программирования JAVA + SCALA, СУБД PostgreSQL, интерфейс работает через WEB-браузер Google Chrome.
Требуется разработать техническое задание и реализовать модуль технического мониторинга на платформе С60
","Реализовать модуль технического мониторинга инженерной инфраструктуры на платформе C60 Модуль технического мониторинга инженерной инфраструктуры (промышленный интернет вещей IIOT) на платформе C60.
Техническое задание на модуль, инструкция пользователя и администратора
"
Разработка программных средств для исследования эвристических алгоритмов решения таблиц покрытия,"Проверить целесообразность реализации комбинаторных оптимизационных задач средствами современных СУБД (MS SQL, Postgress) . Критерии оценки:

Простота реализации;
Размерность решаемых задач;
Быстродействие.
Сравнить приближенные алгоритмы решения таблиц покрытия на потоке задач (выбрать и реализовать известные эвристики и предложить собственные).","Создание программных средств псевдослучайной генерации таблиц покрытий, реализация приближенных алгоритмов решения таблиц покрытия большого размера и сравнения их эффективности на потоке задач. Приложение, позволяющее:

задавать параметры таблиц покрытия для псевдослучайного генератора таблиц покрытия;
управлять процессом сравнения приближенных алгоритмов на потоке задач;
управлять архивом.
База данных и набор хранимых процедур, которые позволяют:

по заданным параметрам таблиц покрытия псевдослучайным образом формировать в базе данных конкретные экземпляры;
находить решение таблиц покрытия приближенными алгоритмами;
запоминать и хранить информацию по сравнению приближенных алгоритмов."
Разработка алгоритма автоматического объединения исторических записей,"Исследователями-историками из Институт истории и археологии УрО РАН был собран обширный набор данных, содержащий записи о людях, проживавших на Урале с конца 19 по начало 20 века. Трудность с их обработкой заключается, с одной стороны, в распознавании рукописного и машинописного текста на страрорусской кириллице, а с другой стороны, в поиске записей об одном и том же человеке. В рамках этой работы планируется решить эти проблемы.","Целью проекта является разработка метода автоматического распознавания текста с помощью методов глубокого обучения. Кроме того, планируется разработка алгоритма объединения записей из разных исторических источников об одном и том же человеке Результатом проекта должны стать:

модель, на вход которой подается изображение с текстом, а на выходе получается распознанный текст, точность распознавания текста должна быть не менее 90%;
алгоритм связывания записей, на вход которому подается набор записей о людях. Алгоритм должен производить группировку записей, таким образом, чтобы записи об одном и том же человеке попадали в одну группу."
Анализ текстов программ российских политических партий с помощью методов анализа данных и машинного обучения.,"Вычислительная социология – новая наука на стыке информатики и социологии. Она изучает закономерности в различных сферах жизни общества, зачастую не очевидные для человека. Она активно развивается, ученые по всему миру проводят множество исследований, используя доступные материалы. В открытых источниках много различных документов, необходимых для анализа, на разных языках, но их крайне мало для русского языка, отчего данное направление скудно развивается в России. В данном проекте студенты самостоятельно соберут необходимые данные, обработают их и проанализируют, используя современные методы науки о данных. Таким образом, будет проделано полноценное масштабное исследование, не имеющее аналогов в России. ","Собрать, оцифровать и разметить программы политических партий за последние 20 лет, исследовать закономерности в текстах программ политических партий с помощью инструментов статистики и машинного обучения. Набор размеченных программ политических партий; модель-классификатор предложений; исследование различных статистических показателей в текстах программ, например, динамика изменения тех или иных тем у различных партий с течением времени."
"Разработка форм, средств и методов иммерсивного обучения школьников:  психология цифрового поколения, экология образовательной среды, цифровая дидактика. ","К 2022 году по данным ABI Research мировой рынок корпоративного обучения на основе VR и AR вырастет до 6 млрд.долларов. Иммерсивное обучение совершает революцию во всей сфере образования. Работа в сфере иммерсивного обучения – реальное будущее многих студентов ИРИТ-Рт. Участие в проекте позволит студентам получить профессионально значимые знания в таких областях как психология цифрового поколения, экология цифровой образовательной среды, цифровая дидактика. Работа в проекте позволит студентам преодолеть «культурный» барьер специалиста в области цифровой инженерии по отношению к педагогам, психологам и социологам. ","Предложить актуальные формы, средства и методы иммерсивного обучения школьников ( т.е. обучения с использованием технологий VR/AR).  Теоретическое описание форм, средств и методов иммерсивного обучения школьников; комплексное исследование вопросов психологи цифрового поколения, экологии цифровой образовательной среды, цифровой дидактики; публикация научной статьи в рецензируемых журналах и издания индексируемых  в РИНЦ,  доклад на научной конференции "
Разработка компьютерных средств и методов измерения инновационного потенциала работника в условиях цифровой экономики. ,"Инновационный потенциал работника как способность к восприятию новой информации; приращению своих профессиональных знаний; выдвижению новых конкурентоспособных идей; нахождению решений новых задач, в условиях цифровой экономики является ключевым объектом управления. Управление инновационным потенциалом работника предполагает проведение его измерения современными цифровыми средствами и методами. В условиях информационного транзитивного общества и необходимости быстрого обновления знаний особенно актуальны междисциплинарные проекты. Цифровая экономика совершает революцию во всей сфере образования; инновационный потенциал работников сферы образования определяет успех цифровой трансформации национальной экономики.  Работа в сфере коммуникаций в электронных каналах, обеспечение цифровой диагностики инновационного потенциала работников  в т.ч. и сферы образования -  реальное будущее многих студентов ИРИТ-Рт. Участие в проекте позволит студентам получить дополнительные знания в таких областях как психология труда, экономика человеческого потенциала, управление персоналом. Работа в проекте позволит студентам преодолеть «культурный» барьер специалиста в области цифровой инженерии по отношению к педагогам, психологам и социологам. ","Предложить актуальные в условиях цифровой экономики средства и методы диагностики инновационного потенциала работника образовательной организации.  Теоретическое описание компьютерных средств и методов измерения инновационного потенциала работника; концептуальная модель и цифровые измерительные средства диагностики инновационного потенциала работника сферы образования; публикация научной статьи в рецензируемых журналах и издания индексируемых  в РИНЦ,  доклад на научной конференции "
Разработка компьютерных моделей тепло-массообмена технологии новых материалов,"Актуальна проблема априорной оценки качества изделий из  новых материалов по механическим свойствам в условиях заданных температур. Возможность включиться в решение этой проблемы  предоставляет ГК «ПЛМ Урал». Предлагается создать компьютерную модель тепло-массообмена в ПО Elcut, Autodesk, Ansys для реальной технической задачи.","Необходимо предложить решение актуальной проблемы – создание компьютерных моделей тепло-массообмена, необходимых для создания технологии новых материалов средствами цифровой инженерии. Компьютерная модель тепло-массообмена реализуется МКЭ в ПО Elcut, Autodesk, Ansys и необходима для диагностики качества продукции по механическим свойствам в условиях заданных температур.  Компьютерная модель тепло-массообмена в ПО Elcut, Autodesk, Ansys (по выбору заказчика). "
Разработка мобильной стратегии,"Три фракции всегда враждовали друг с другом: Элементали, презирающие все органическое, Нежить, испытывающая вечный голод и Люди, просто желающие выжить. На поле бесконечных сражений этих трех фракций построен весь геймплей игры.",Разработка мобильной игры Готовое приложение
ИИ для дополненной реальности. ," На данный момент не существует, по крайней мере в открытом доступе, технологии осуществляющей в реальном времени распознавание поверхности/фасада здания/строения/крупного объекта и работающая в реальном времени через мобильное устройство. Наличие этой технологии позволит сделать качественный рывок в приложениях дополненной реальности. ","Программная библиотека/приложение обеспечивающее возможность в реальном времени на мобильном устройстве распознавать фасад заданного здания/строения, определять его положение и ориентацию относительно камеры смартфона и выполнять вывод произвольной графики(текст/изображение) поверх него. Предполагается что в приложение загружается интересующая нас фотография определенного здания   То есть общая идея такова: запускается приложение на телефоне, камера телефона направляется на историческое здание и по нему выводится вся интересующая информация.  Экспериментальное приложение. В базовом варианте приложение работает на ПК. В приложение загружается изображение объекта, например фасад исторического здания. После этого включается камера, камеру наводят на фасад здания. Картинка с камеры, или записанное видео здесь не принципиально.   Приложение определяет ориентацию объекта относительно камеры, то есть проще говоря строятся виртуальная плоскость поверх найденного объекта на которой визуализируется текст и изображение.  Минимальная частота кадров - не ниже 10-25 кадров в секунду."
"Контроль поведения человека (жесты, позы, движение) и его биометрических показателей и эмоций в разрезе допустимых и недопустимых для заданной ситуации","Нужно предотвратить возможность хищения ценностей малого размера, основываясь на поведении человека. Если поведение человека становится отличным от нормального и близко к подозрительному, то нужно обратить на него особое внимание и отследить его","Определить нежелательные и желательные сценарии поведения Разработанное ПО, должно определять подозрительное поведение человека, основываясь на видеонаблюдении за ним"
"Симуляция дорожной ситуации в рамках светофорного комплекса ул. Серафимы Дерябиной, ул. начдива Онуфриева, ул. Вильгельма де Геннина, Объездной дороги и ее оптимизация","Ручной анализ транспортной ситуации в городе и оптимизация светофоров, является трудоемкой задачей. Поэтому необходима автоматизация этого процесса","Создать симуляцию транспортных потоков в пределах указанного перекрестка и просчитать варианты оптимизации фаз комплекса светофоров Результатом должна стать система, которая для задаваемой пользователем интенсивности движения по направлениям рассчитывает оптимальные фазы светофоров по направлениям. Предполагается создание 2d визуализации данной симуляции."
Создание инструмента сегментации улично-дорожной сети на основании данных ортофотосъемки,Для решения задач градостроительного проектирования и создания ИТС необходимы актуальные данные о состоянии улично-дорожной сети. ,"Создание инструмента определения осей (центров) улиц для дальнейшего использования в целях градостроительного проектирования и создания интеллектуальной транспортной системы (ИТС).
Сверхцель: определить также ширину и количество полос движения улиц
 Инструмент, получающий на вход ортофотоплан местности, результатом работы (выходом) которого является векторный слой, содержащий оси улиц и, возможно, атрибутивную информацию о ширине улиц и количестве полос движения.

"
Применение нейронных сетей для обнаружения деревянных опор линий электропередач,"В ООО  «Лаборатории будущего» разработан диагностический комплекс Канатоход на основе БПЛА. Видео, полученное с комплекса анализируется экспертом на наличие дефектов линии электропередачи. Этот процесс долгий и дорогостоящий, поэтому сейчас идет разработка диагностической автоматической системы, которая будет распознавать дефекты элементов ЛЭП. Большинство таких систем используют в своей основе технологии нейронных сетей, поэтому проект предполагает использование нейронных сетей и методов машинного зрения.
В соответствии с требованиями п.4.10. Типовой инструкции по эксплуатации воздушных линий электропередачи напряжением 35-800 кВ (РД 34.504-94) арматура должна браковаться и подлежать замене, если:
- поверхность арматуры покрыта сплошной коррозией и площадь опасных сечений ослаблена более чем на 20%;
- в деталях арматуры имеются трещины, раковины, оплавления, изгибы;
- форма и размеры деталей не соответствуют чертежам;
- оси и другие детали шарнирных сочленений имеют значительный износ и их размеры отличаются от проектных более чем на 10%.
Недопустимо отсутствие конструктивных элементов. Все детали сцепной арматуры должны быть зашплинтованы. Пальцы должны быть установлены головкой вверх и иметь навернутую гайку.
","Распознавать дефекты линий электропередач  Оценка проекта. Качественная – идентифицировать заданный тип дефекта по видео или / и фотоматериалам. Количественная – количество найденных дефектов по алгоритму относительно количеству дефектов, найденных экспертом. "
Применение нейронных сетей для обнаружения дефектов стеклянных изоляторов линий электропередачи,"В ООО  «Лаборатории будущего» разработан диагностический комплекс Канатоход на основе БПЛА. Видео, полученное с комплекса анализируется экспертом на наличие дефектов линии электропередачи. Этот процесс долгий и дорогостоящий, поэтому сейчас идет разработка диагностической автоматической системы, которая будет распознавать дефекты элементов ЛЭП. Большинство таких систем используют в своей основе технологии нейронных сетей, поэтому проект предполагает использование нейронных сетей и методов машинного зрения.
В соответствии с требованиями п.4.11.3. Типовой инструкции по эксплуатации воздушных линий электропередачи напряжением 35-800 кВ (РД 34.504-94) стеклянные изоляторы должны браковаться и подлежать замене при:
- разрушении стекла;
- появлении на поверхности стекла волосяных трещин;
- стойком загрязнении поверхности стекла.
","Распознавать дефекты стеклянных изоляторов линий электропередачи  Оценка проекта. Качественная – идентифицировать заданный тип дефекта по видео или / и фотоматериалам. Количественная – количество найденных дефектов по алгоритму относительно количеству дефектов, найденных экспертом. "
Создание программного комплекса исполнения сценариев роботизированной платформой,"В ООО «Лаборатории будущего» разработан комплекс «Канатоход» на основе БПЛА. На данном этапе существования проекта, миссия по диагностике высоковольтных линий электропередач роботизированным комплексом «Канатоход» формируется в специальном программном обеспечении и поступает на выполнение оператору комплекса в виде набора задач, оператор выполняет задачи последовательно. 
Во время выполнения диагностической миссии оператор движется вдоль высоковольтной линии электропередач в охранной зоне, на пути следования могут возникать естественные и антропогенные преграды, точность и время выполнения диагностической миссии напрямую зависит от оператора. Для исключения человеческого фактора и достижения максимальной полноты данных в данный момент ведётся работа по достижению полной автономности выполнения диагностической миссии. 
","Автоматизация процесса выполнения диагностической миссии роботизированного комплекса «Канатоход» Комплекс выполняет диагностическую миссию автоматически, руководствуясь предварительно сгенерированным сценарием / Программное обеспечение обработки сценариев миссии и выполнения соответствующих команд"
Построение семантической сетевой топологии системы с нулевым априорным знанием о структуре сетевого трафика,"Для контроля информационных потоков нужно знать спецификацию используемых сетевых протоколов. В связи с развитием сетевых технологий (особенно в IoT сегменте) появляются новые сетевые протоколы, спецификации которых часто закрытые. В этом случае средство анализа сети не может дать достаточно информации для выявления признаков инцидентов информационной безопасности.
Концепт решения – сетевой анализатор (чем-то похожий на Wireshark), который может работать с любыми сетевыми протоколами, не требуя загрузки их спецификаций или баз правил (без априорных знаний об используемых протоколах).
","Разработать и программно реализовать статистико-энтропийный алгоритм, позволяющий разбирать трафик неизвестных протоколов на поля, выделять из него сетевые адреса и строить карту компьютерной сети. •  Программа, позволяющая выделять сетевые адреса и разделять сетевой трафик на поля без априорных знаний об используемых протоколах;
•  Производительность программы при анализе набора из 30 тысяч сетевых пакетов не менее 1 пакета в секунду, верное выделение не менее 80% адресов отправителей и получателей из трафика.
"
Система предиктивной аналитики ЦОД,"В качестве исходных данных для данного проекта выступает состояние инженерного оборудование в формате базы данных (предоставляется заказчиком).
По результатам анализа статистической выборки программа должна рассчитать вероятность выхода оборудования из строя.
","Разработать систему предиктивной аналитики возможных отказов инженерных систем ЦОД на основании анализа статистики работы оборудования. Программа предиктивной диагностики инженерного оборудования ЦОД, обрабатывающая исходные данные и получающая на выходе вероятность выхода оборудования из строя."
Датчик протечки с интерфейсом RS-485," На рынке представлены различные беспроводные и проводные датчики протечек. Недостатками беспроводных является ограниченная дальность работы, отсутствие контроля прибора в некоторых экземплярах, редкие периоды опроса и так далее. Проводные решения в большинстве своём представляют наиболее простые решения, использующие для сигнализации протечки «сухой контакт» и не имеющие контроля цепи сигнализации. В большинстве случаев через них постоянно протекает небольшой ток, что приводит к коррозии электродов. Побочным недостатком таких датчиков может являться то, что особо чувствительные модули ввода дискретных сигналов могут реагировать на данные токи утечки, что будет приводить к ложноположительной сигнализации. 
Предлагается разработать прототип интеллектуального электродного проводного датчика протечки, который будет избавлен от указанных выше недостатков, содержащий в себе микроконтроллер, который будет обеспечивать следующие функции:
1)	Сравнивать ток, протекающий между электродами, с эталонным значением, зашитым в память при калибровке.
2)	По поступлению команды обновлять эталонное значение, например при изменении относительной влажности.
3)	Для замедления процесса коррозии подавать ток в контур измерения периодически на короткий промежуток времени.
4)	При превышении протекающего через электроды тока эталонных значений выдавать сигнал протечки через Modbus-RTU с дублированием через сухой контакт. 
5)	Обеспечивать взаимодействие с ПЛК c помощью интерфейса Modbus-RTU
6)	Позволять подключать последующие датчики в шлейф по топологии RS-485.
Напряжение питания предлагается использовать =24В
","Разработка проводного датчика протечки с интерфейсом RS-485/Modbus RTU Прототип датчика, обеспечивающий указанные выше функции"
Коннектор z-wave (defaro UZB7) - mqtt,"Существующие решения, например z-wave-me сервер работают нестабильно под Linux в сборках для ARM-архитектуры и не работают с чипами Z-Wave 700 Series.
Предлагается разработать сервер, который бы транслировал z-wave устройства в mqtt-топики по аналогии с указанным выше сервером.
"," Разработать коннектор z-wave сервера Defaro UZB7 в протокол MQTT, работающий под ОС Linux. Комплект отчуждаемого ПО в виде пакетов для OS Debian GNU/Linux и/или исходных кодов для сборки под любой дистрибутив."
Карта распределения дорожной пыли на в жилых районах г. Екатеринбурга ,"В настоящее время большая часть населения Земли проживает в городах, наблюдается тенденция их укрупнения. Экологические проблемы городов осложняются благодаря возрастающей антропогенной, преимущественно автотранспортной, нагрузке. Эффективное управление состоянием окружающей среды является приоритетной задачей при планировании природоохранных мероприятий. 
Актуальность изучения физических, химических и других свойств пыли в окружающей среде возрастает в связи с повышенным вниманием научного сообщества и органов власти к проблеме загрязнения взвесями и твердыми частицами и вопросам их влияния на здоровье населения. Пыль характеризуется повышенной сорбционной емкостью по сравнению с частицами более крупного размера, поэтому частицы пыли способны накапливать повышенные уровни поллютантов. Обладая малым размером, пылевые частицы способны находиться во взвешенном состоянии в атмосфере. Пыль непрерывно переносится, накапливается на поверхностях в виде рыхлых отложений, и является основной транспортирующей загрязнение средой в городах. Пыль на урбанизированных территориях образуется круглый год. Сезонность и метеорологические условия также влияют на образование пыли, ее количество, элементный и минеральный состав.
Для понимания генезиса пыли и установления основных ее источников, изучения физических параметров, определяющих особенности распространения пылевых частиц в компонентах окружающей среды, их химического состава, влияющего на экологическую опасность для живых организмов, требуются дополнительные фундаментальные исследования.
Полученные на основе опробования современных отложений данные о состоянии окружающей среды в значительной мере дополнят картину перераспределения и накопления поллютантов, позволят учесть происходящие в урбанизированной среде миграционные процессы поллютантов. Полученные результаты обеспечат совершенствование известных методов эколого-геохимических исследований для урбанизированных ландшафтов. Знание механизмов формирования и экологической роли современных антропогенных пылевых отложений на плотно населенных территориях позволит усовершенствовать методики для оценки экологического риска для населения. Также результаты позволят оценить количество пыли, которое перераспределяется и накапливается на урбанизированных территориях в разные сезоны года. Будет проведена количественная оценка поступления и накопления тяжелых металлов, которые переносятся с пылевой фракцией в урбанизированной среде.","Создать программу для сбора информации о распределении дорожной пыли на территории г. Екатеринбурга. В дальнейшем интегрировать веб или мобильное, приложение на платформу https://openedu.ru/, для прохождения студентами УрФУ лабораторных работ для онлайн-курса «Безопасность жизнедеятельности». Готовое приложение и интеграция продукта в онлайн курс БЖД"
