,Название,Описание проекта,Результат/Цель ,full
97,Домашняя сигнализация,"Создать «домашнюю сигнализацию». Установить по квартире ИК-датчики, у которых 2 режима работы: 1) Когда пересекли луч - просто отправляем на сервер информацию о времени пересечения. 2) ""Ночной"". Так же отправляем информацию на сервер, но вдобавок включаем пищалку и сирену в соседней комнате. Менять режимы можно вручную через приложение или физически на датчике. В приложении же доступная информации о каждом пересечении датчика: его номере и времени пересечения.","Создать «домашнюю сигнализацию» с ИК-датчиком, мигалкой и сиреной «Домашняя сигнализация».","Домашняя сигнализация Создать «домашнюю сигнализацию». Установить по квартире ИК-датчики, у которых 2 режима работы: 1) Когда пересекли луч - просто отправляем на сервер информацию о времени пересечения. 2) ""Ночной"". Так же отправляем информацию на сервер, но вдобавок включаем пищалку и сирену в соседней комнате. Менять режимы можно вручную через приложение или физически на датчике. В приложении же доступная информации о каждом пересечении датчика: его номере и времени пересечения. Создать «домашнюю сигнализацию» с ИК-датчиком, мигалкой и сиреной «Домашняя сигнализация»."
98,Доработка сайта ДПО ИРИТ-РТФ,, ,Доработка сайта ДПО ИРИТ-РТФ   
99,Контекстная реклама,, ,Контекстная реклама   
100,Мобильное приложение для музеев,, ,Мобильное приложение для музеев   
101,Приложение для автодорог,, ,Приложение для автодорог   
102,Проектирование сайта ИнФО УрФУ,, ,Проектирование сайта ИнФО УрФУ   
103,Сервис для абитуриентов ИРИТ-РТФ,, ,Сервис для абитуриентов ИРИТ-РТФ   
104,Сервис презентации проектов студентов ИРИТ-РТФ и ИнФО,, ,Сервис презентации проектов студентов ИРИТ-РТФ и ИнФО   
105,Система проверки заданий по компьютерным сетям,, ,Система проверки заданий по компьютерным сетям   
106,Система проверки заданий по языку Python,Создание автоматизированного модуля проверки практических заний по курсу Python., ,Система проверки заданий по языку Python Создание автоматизированного модуля проверки практических заний по курсу Python.  
107,Создание браузерного бота для ставок на киберспорт,, ,Создание браузерного бота для ставок на киберспорт   
108,Cоздание видеороликов для Youtube,, ,Cоздание видеороликов для Youtube   
109,Агрегатор новостей,На данный момент сайт ИРИТ-РТФ и группы ВК нуждается в актуализации новостных объявлений и оперативном размещении новой информации на страницах сайта. Поэтому для оптимизации размещения новостей требуется реализовать автоматический сбор новостей из релевантных информационных ресурсов и размещении собранной информации на сайте.,Автоматизировать сбор и размещение новостей для сайта ИРИТ-РТФ и групп ВКонтакте ,Агрегатор новостей На данный момент сайт ИРИТ-РТФ и группы ВК нуждается в актуализации новостных объявлений и оперативном размещении новой информации на страницах сайта. Поэтому для оптимизации размещения новостей требуется реализовать автоматический сбор новостей из релевантных информационных ресурсов и размещении собранной информации на сайте. Автоматизировать сбор и размещение новостей для сайта ИРИТ-РТФ и групп ВКонтакте 
110,Навигатор для помещений,, ,Навигатор для помещений   
111,Электронный деканат,, ,Электронный деканат   
112,Игровая платформа «Математика случайного»,"Низкий уровень статистической культуры и критического мышления учеников и выпускников общеобразовательных школ приводит к недобору баллов на ЕГЭ, проблемах при освоении соответствующих разделов университетской программы, а также увеличивает риск стать жертвой «наукообразного» мошенничества. При этом традиционные формы обучения теории вероятностей и мат.статистике, как правило, отличаются низким уровнем наглядности, мотивированности и вовлеченности обучающихся, трудны для самостоятельного (онлайн, заочного) освоения. 
В данном проекте предлагается создать комплекс обучающих игр, основанных на наборе разноуровневых математических задач, покрывающих необходимые разделы теории вероятностей, дискретной математики и математической статистики. Игрофикация процесса сделает образовательный процесс интересным и доступным каждому владельцу современного гаджета (от старшекласников и выше) и позволит по индивидуальной траектории освоить основы математического аппарата для работы со случайными величинами и анализа данных.
Реализовать проект предполагается в виде мобильного приложения в связке с онлайн-сервисом. При разработке рекомендуется использовать инструменты с открытым исходным кодом и/или со свободными лицензиями. 
",Создание комплекса обучающих игр как формы реализации курса по основам математических подходов к анализу данных.   Мобильное/настольное приложение или онлайн-сервис.,"Игровая платформа «Математика случайного» Низкий уровень статистической культуры и критического мышления учеников и выпускников общеобразовательных школ приводит к недобору баллов на ЕГЭ, проблемах при освоении соответствующих разделов университетской программы, а также увеличивает риск стать жертвой «наукообразного» мошенничества. При этом традиционные формы обучения теории вероятностей и мат.статистике, как правило, отличаются низким уровнем наглядности, мотивированности и вовлеченности обучающихся, трудны для самостоятельного (онлайн, заочного) освоения. 
В данном проекте предлагается создать комплекс обучающих игр, основанных на наборе разноуровневых математических задач, покрывающих необходимые разделы теории вероятностей, дискретной математики и математической статистики. Игрофикация процесса сделает образовательный процесс интересным и доступным каждому владельцу современного гаджета (от старшекласников и выше) и позволит по индивидуальной траектории освоить основы математического аппарата для работы со случайными величинами и анализа данных.
Реализовать проект предполагается в виде мобильного приложения в связке с онлайн-сервисом. При разработке рекомендуется использовать инструменты с открытым исходным кодом и/или со свободными лицензиями. 
 Создание комплекса обучающих игр как формы реализации курса по основам математических подходов к анализу данных.   Мобильное/настольное приложение или онлайн-сервис."
113,Цифровизационный подход к измерению биологического возраста человека,"Биологический возраст является мерой степени изношенности организма и мерой предстоящей продолжительности жизни. Продолжительность жизни испытуемого человека соизмерима с таковой у исследователя. Поэтому существующие методы исследования основываются на выявлении возраст-зависимых показателей и создании на этой основе математических моделей прогностического характера, проверить точность которых не представляется возможным.","Оценить биологический возраст человека на основе математической модели, включающей результаты измерения объективных физиологических, биохимических и гематологических параметров *Необходимо ввести качественные и количественные метрики успешности вашего проекта.
Методика измерения биологического возраста человека.
","Цифровизационный подход к измерению биологического возраста человека Биологический возраст является мерой степени изношенности организма и мерой предстоящей продолжительности жизни. Продолжительность жизни испытуемого человека соизмерима с таковой у исследователя. Поэтому существующие методы исследования основываются на выявлении возраст-зависимых показателей и создании на этой основе математических моделей прогностического характера, проверить точность которых не представляется возможным. Оценить биологический возраст человека на основе математической модели, включающей результаты измерения объективных физиологических, биохимических и гематологических параметров *Необходимо ввести качественные и количественные метрики успешности вашего проекта.
Методика измерения биологического возраста человека.
"
114,"Мультиформатная конвертация данных компьютерной
томографии (КТ) костей лицевого скелета в виртуальную STL-модель,
математическое моделирование конструкции титанового имплантата для
замещения дефекта нижней стенки орбиты, на основе Big-data КТ
лицевого скелета, создание нейронной сети с применением компьютерных
технологий и искусственного интеллекта
","В настоящее время существующие на рынке решения для создания и обработки виртуальных 3D-моделей представлены относительно небольшим количеством программных продуктов, большинство из которых либо имеют довольно ограниченный набор инструментов по проектированию 3D-моделей без возможности их конвертации из данных компьютерных томограмм пациентов либо являются весьма дорогостоящими и требуют прохождения дополнительного обучения по работе в данных программах. Более того, на данный момент отсутствует приложение, которое позволило бы производить конвертацию данных компьютерной томографии (КТ) пациентов в виртуальную STL-модель не только из стандартного для большинства КТ-аппаратов «.DICOM» формата, но и из массива срезов, получаемых при проведении конусно-лучевой компьютерной томографии (КЛКТ) в формате «.GWG», получившей широкое распространение в стоматологической практике.
Описанные выше недостатки существующих приложений легли в основу Нашей идеи по созданию собственного программного пакета, обладающего оптимальным функционалом для проектированию и редактированию виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG.
Особый интерес в области проектирования индивидуализированных протезов костных дефектов средней зоны лица представляют технологии Big-data с применением нейронных сетей и искусственного интеллекта. При включении указанных технологий в функционал разрабатываемого программного пакета появляется уникальная возможность создания виртуального банка данных срезов компьютерных томограмм костей лицевого скелета, основываясь на которых мы можем частично автоматизировать процесс проектировки замещающего дефект имплантата, а также многократно повысить точность исполнения конечного продукта (индивидуализированного имплантата).
","Создание программного пакета, обладающего оптимальным функционалом для проектирования и редактирования виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG. Программный пакет для мультиформатной конвертации данных компьютерной томографии (КТ) костей лицевого скелета в виртуальную STL-модель с возможностью математического моделирования конструкции титанового имплантата для замещения дефекта нижней стенки орбиты с применением технологий Big-data, нейронных сетей и искусственного интеллекта.","Мультиформатная конвертация данных компьютерной
томографии (КТ) костей лицевого скелета в виртуальную STL-модель,
математическое моделирование конструкции титанового имплантата для
замещения дефекта нижней стенки орбиты, на основе Big-data КТ
лицевого скелета, создание нейронной сети с применением компьютерных
технологий и искусственного интеллекта
 В настоящее время существующие на рынке решения для создания и обработки виртуальных 3D-моделей представлены относительно небольшим количеством программных продуктов, большинство из которых либо имеют довольно ограниченный набор инструментов по проектированию 3D-моделей без возможности их конвертации из данных компьютерных томограмм пациентов либо являются весьма дорогостоящими и требуют прохождения дополнительного обучения по работе в данных программах. Более того, на данный момент отсутствует приложение, которое позволило бы производить конвертацию данных компьютерной томографии (КТ) пациентов в виртуальную STL-модель не только из стандартного для большинства КТ-аппаратов «.DICOM» формата, но и из массива срезов, получаемых при проведении конусно-лучевой компьютерной томографии (КЛКТ) в формате «.GWG», получившей широкое распространение в стоматологической практике.
Описанные выше недостатки существующих приложений легли в основу Нашей идеи по созданию собственного программного пакета, обладающего оптимальным функционалом для проектированию и редактированию виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG.
Особый интерес в области проектирования индивидуализированных протезов костных дефектов средней зоны лица представляют технологии Big-data с применением нейронных сетей и искусственного интеллекта. При включении указанных технологий в функционал разрабатываемого программного пакета появляется уникальная возможность создания виртуального банка данных срезов компьютерных томограмм костей лицевого скелета, основываясь на которых мы можем частично автоматизировать процесс проектировки замещающего дефект имплантата, а также многократно повысить точность исполнения конечного продукта (индивидуализированного имплантата).
 Создание программного пакета, обладающего оптимальным функционалом для проектирования и редактирования виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG. Программный пакет для мультиформатной конвертации данных компьютерной томографии (КТ) костей лицевого скелета в виртуальную STL-модель с возможностью математического моделирования конструкции титанового имплантата для замещения дефекта нижней стенки орбиты с применением технологий Big-data, нейронных сетей и искусственного интеллекта."
115,"Клинико-функциональная характеристика пациентов с гипертонической болезнью (ГБ), перенесших тромбоэмболию лёгочной артерии (ТЭЛА)",Необходим статистический регрессионный анализ  и выявление корреляционной зависимости при сравнении показателей эхокардиографии пациентов разных групп - перенесших ТЭЛА и без ТЭЛА исходно. ,"Определение функциональной особенностей пациентов с ГБ, перенесших ТЭЛА, в сравнении с группой пациентов с ГБ и без ТЭЛА Наличие или отсутствие корреляции показателей эхокардиографии разных групп пациентов

","Клинико-функциональная характеристика пациентов с гипертонической болезнью (ГБ), перенесших тромбоэмболию лёгочной артерии (ТЭЛА) Необходим статистический регрессионный анализ  и выявление корреляционной зависимости при сравнении показателей эхокардиографии пациентов разных групп - перенесших ТЭЛА и без ТЭЛА исходно.  Определение функциональной особенностей пациентов с ГБ, перенесших ТЭЛА, в сравнении с группой пациентов с ГБ и без ТЭЛА Наличие или отсутствие корреляции показателей эхокардиографии разных групп пациентов

"
116,"Геймифицированный 3D тренажер
«Прививочный кабинет детской поликлиники»
","Задачи, которые предполагается решить с участием специалистов по интеллектуально-информационным технологиям:
- создание программной оболочки продукта с возможностью реализации различных игровых сценариев;
- разработка 3D модели прививочного кабинета детской поликлиники по представленным фотографиям с возможностью реализации набора сценариев оснащения для отработки алгоритма проверки правильности организации работы прививочного кабинета;
- по представленному набору сценариев реализовать отработку алгоритмов оказания неотложной помощи при поствакцинальных реакциях и осложнениях;
- по представленному набору сценариев реализовать отработку алгоритмов применения Национального календаря прививок (с возможностью заведения различных вариантов календаря прививок).
","Создание интеллектуального тренажера-симулятора для отработки и контроля сформированности профессиональных навыков у специалистов педиатрического и медико-профилактического профиля в области иммунопрофилактики инфекционных заболеваний.
Целевая аудитория:
- студенты педиатрического, медико-профилактического факультетов;
- ординаторы, обучающиеся по специальностям педиатрического и медико-профилактического профиля;
- врачи в рамках циклов повышения квалификации и профессиональной переподготовки по специальностям педиатрического и медико-профилактического профиля.
 Программный продукт с двумя режимами использования:
- обучение;
- контроль сформированности профессиональных компетенций.
","Геймифицированный 3D тренажер
«Прививочный кабинет детской поликлиники»
 Задачи, которые предполагается решить с участием специалистов по интеллектуально-информационным технологиям:
- создание программной оболочки продукта с возможностью реализации различных игровых сценариев;
- разработка 3D модели прививочного кабинета детской поликлиники по представленным фотографиям с возможностью реализации набора сценариев оснащения для отработки алгоритма проверки правильности организации работы прививочного кабинета;
- по представленному набору сценариев реализовать отработку алгоритмов оказания неотложной помощи при поствакцинальных реакциях и осложнениях;
- по представленному набору сценариев реализовать отработку алгоритмов применения Национального календаря прививок (с возможностью заведения различных вариантов календаря прививок).
 Создание интеллектуального тренажера-симулятора для отработки и контроля сформированности профессиональных навыков у специалистов педиатрического и медико-профилактического профиля в области иммунопрофилактики инфекционных заболеваний.
Целевая аудитория:
- студенты педиатрического, медико-профилактического факультетов;
- ординаторы, обучающиеся по специальностям педиатрического и медико-профилактического профиля;
- врачи в рамках циклов повышения квалификации и профессиональной переподготовки по специальностям педиатрического и медико-профилактического профиля.
 Программный продукт с двумя режимами использования:
- обучение;
- контроль сформированности профессиональных компетенций.
"
117,"Модель прогнозирования спроса на лекарственные препараты, произведенные в УрФО",Проект направлен на научное обоснование промышленных ассортиментных портфелей фармацевтических заводов УрФО на основе многофакторного анализа (промышленные/рыночные/маркетинговые/макроэкономические факторы).,"Моделирование спроса на лекарственные препараты, произведенные в УрФО в коммерческом и госпитальном сегментах фармацевтического рынка для формирования таргетированных ассортиментных портфелей. Модель спроса на продукты в целевых сегментах фармацевтического рынка","Модель прогнозирования спроса на лекарственные препараты, произведенные в УрФО Проект направлен на научное обоснование промышленных ассортиментных портфелей фармацевтических заводов УрФО на основе многофакторного анализа (промышленные/рыночные/маркетинговые/макроэкономические факторы). Моделирование спроса на лекарственные препараты, произведенные в УрФО в коммерческом и госпитальном сегментах фармацевтического рынка для формирования таргетированных ассортиментных портфелей. Модель спроса на продукты в целевых сегментах фармацевтического рынка"
118,Динамическая модель когнитивного старения,"Создание математической динамической онтогенетически ориентированной (с учетом жизненного периода, возраста испытуемых) модели когнитивного старения, с возможностью управления неблагоприятным сценарием старения. Создание динамической модели когнитивного старения предоставит возможность прогнозировать индивидуальные траектории старения и менять их вектор в случае патологического сценария.  Создание модели с помощью нейросетей","Исследовать биологические и психосоциальные компенсаторные  механизмы старения головного мозга, разработать комплексные медико-психосоциальные программы, учитывающие нейрохимические, нейропсихологические, психосоциальные сценарии старения на основе динамической модели когнитивного старения Создание модели с возможностью добавления вновь поступающих данных","Динамическая модель когнитивного старения Создание математической динамической онтогенетически ориентированной (с учетом жизненного периода, возраста испытуемых) модели когнитивного старения, с возможностью управления неблагоприятным сценарием старения. Создание динамической модели когнитивного старения предоставит возможность прогнозировать индивидуальные траектории старения и менять их вектор в случае патологического сценария.  Создание модели с помощью нейросетей Исследовать биологические и психосоциальные компенсаторные  механизмы старения головного мозга, разработать комплексные медико-психосоциальные программы, учитывающие нейрохимические, нейропсихологические, психосоциальные сценарии старения на основе динамической модели когнитивного старения Создание модели с возможностью добавления вновь поступающих данных"
119,Автоматизированное рабочее место (АРМ) подготовки медико-статистических данных,"АРМ подготовки медико-статистических данных содержит в себе в себе базу данных и исполняемый модуль, предназначенный для поддержки основных видов деятельности в учетных подразделениях медицинского учреждения.","Создание программного продукта (АРМ подготовки медико-статистических данных), работающего под управлением современной операционной системы Создание программного продукта, работающего под управлением современной операционной системы.","Автоматизированное рабочее место (АРМ) подготовки медико-статистических данных АРМ подготовки медико-статистических данных содержит в себе в себе базу данных и исполняемый модуль, предназначенный для поддержки основных видов деятельности в учетных подразделениях медицинского учреждения. Создание программного продукта (АРМ подготовки медико-статистических данных), работающего под управлением современной операционной системы Создание программного продукта, работающего под управлением современной операционной системы."
120,«Создание ЭОР для слушателей дисциплины по выбору «Экологическая химия», Моделирование анимированных лабораторных работ.,"Визуализировать основные темы практических работ, используемых в дисциплине «Экологическая химия» для практического применения на большой поток студентов 1 курса педиатрического факультета Работающий программый продукт (демоверсия): анимированные лабораторные работы: 
1)титрование кальция, магния; хлора; перикиси водорода, 
2)физико-химические свойства растворов (лизис, плазмолиз)
3) качественные реакции на органические вещества
4)определение концентрации и объема раствора при проведении инъекционной терапии.
5) ОВР
","«Создание ЭОР для слушателей дисциплины по выбору «Экологическая химия»  Моделирование анимированных лабораторных работ. Визуализировать основные темы практических работ, используемых в дисциплине «Экологическая химия» для практического применения на большой поток студентов 1 курса педиатрического факультета Работающий программый продукт (демоверсия): анимированные лабораторные работы: 
1)титрование кальция, магния; хлора; перикиси водорода, 
2)физико-химические свойства растворов (лизис, плазмолиз)
3) качественные реакции на органические вещества
4)определение концентрации и объема раствора при проведении инъекционной терапии.
5) ОВР
"
121,"Виртуальная (компьютерная) лабораторная работа по физике ""Определение электрической оси сердца"".","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
1. По заданным примерам электрокардиограмм (ЭКГ) в нескольких стандартных отведениях обеспечить возможность измерения амплитуд зубцов Q, R, S в каждом отведении.
2. По результатам измерений определяется среднее положение электрического вектора сердца (электрическая ось сердца).
3. Производится графическая визуализация найденной электрической оси сердца.
","Создание компьютерной программы. Должно быть разработано ПО определения положения электрической оси сердца по записям ЭКГ в нескольких стандартных отведениях, работающее под управлением ОС Windows 7 и выше. 
Соответствие полученного результата истинным значениям определяемого параметра проверяется на тестовых примерах.
","Виртуальная (компьютерная) лабораторная работа по физике ""Определение электрической оси сердца"". Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
1. По заданным примерам электрокардиограмм (ЭКГ) в нескольких стандартных отведениях обеспечить возможность измерения амплитуд зубцов Q, R, S в каждом отведении.
2. По результатам измерений определяется среднее положение электрического вектора сердца (электрическая ось сердца).
3. Производится графическая визуализация найденной электрической оси сердца.
 Создание компьютерной программы. Должно быть разработано ПО определения положения электрической оси сердца по записям ЭКГ в нескольких стандартных отведениях, работающее под управлением ОС Windows 7 и выше. 
Соответствие полученного результата истинным значениям определяемого параметра проверяется на тестовых примерах.
"
122,ПО для обмена данными с портативным устройством мониторинга уровня и накопленной дозы ультрафиолетового излучения (УФИ)  ,"Имеется устройство, измеряющее уровень УФИ, и записывающее (в среднем 1 раз в минуту) его значения на встроенную память. Требуется ПО (как для мобильных устройств под управлением Android и iOS, так и стационарных компьютеров/ноутбуков, оснащенных адаптером Bluetooth), позволяющее связываться с устройством мониторинга УФИ по стандарту  Bluetooth, считывать данные его внутренней памяти, рассчитывать накопленную дозу УФИ, определять риски поражения кожи, давать рекомендации по защите от УФИ.","Создание ПО для мобильного устройства и стационарных компьютеров, осуществляющего обмен данными с портативным устройством оценки уровня УФИ. Должно быть разработано ПО как для мобильных устройств под управлением ОС Android и iOS, так и для стационарных компьютеров (имеющих адаптер Bluetooth) под управлением ОС Windows 7 и выше. ","ПО для обмена данными с портативным устройством мониторинга уровня и накопленной дозы ультрафиолетового излучения (УФИ)   Имеется устройство, измеряющее уровень УФИ, и записывающее (в среднем 1 раз в минуту) его значения на встроенную память. Требуется ПО (как для мобильных устройств под управлением Android и iOS, так и стационарных компьютеров/ноутбуков, оснащенных адаптером Bluetooth), позволяющее связываться с устройством мониторинга УФИ по стандарту  Bluetooth, считывать данные его внутренней памяти, рассчитывать накопленную дозу УФИ, определять риски поражения кожи, давать рекомендации по защите от УФИ. Создание ПО для мобильного устройства и стационарных компьютеров, осуществляющего обмен данными с портативным устройством оценки уровня УФИ. Должно быть разработано ПО как для мобильных устройств под управлением ОС Android и iOS, так и для стационарных компьютеров (имеющих адаптер Bluetooth) под управлением ОС Windows 7 и выше. "
